id,workload,iteration,metric,core,freq,value,units
a15_19_1,dhrystone,1,A15a_power,A15,1896000,0.251,Watts
a15_19_1,dhrystone,1,A15a_voltage,A15,1896000,0.993,Volts
a15_19_1,dhrystone,1,A15a_energy,A15,1896000,137.917,Joules
a15_20_1,dhrystone,1,thread 0 score,A15,2000000,3623188,
a15_20_1,dhrystone,1,thread 0 DMIPS,A15,2000000,2062,
a15_20_1,dhrystone,1,time,A15,2000000,4.259322,seconds
a15_20_1,dhrystone,1,total DMIPS,A15,2000000,2062,
a15_20_1,dhrystone,1,total score,A15,2000000,3623188,
a15_20_1,dhrystone,1,execution_time,A15,2000000,4.32020401955,seconds
a15_20_1,dhrystone,1,A7_power,A15,2000000,0.018,Watts
a15_20_1,dhrystone,1,A7_voltage,A15,2000000,0.767,Volts
a15_20_1,dhrystone,1,A7_energy,A15,2000000,8.983,Joules
a15_20_1,dhrystone,1,A15c_power,A15,2000000,0.321,Watts
a15_20_1,dhrystone,1,A15c_voltage,A15,2000000,1.03,Volts
a15_20_1,dhrystone,1,A15c_energy,A15,2000000,160.549,Joules
a15_20_1,dhrystone,1,A15b_power,A15,2000000,0.228,Watts
a15_20_1,dhrystone,1,A15b_voltage,A15,2000000,1.03,Volts
a15_20_1,dhrystone,1,A15b_energy,A15,2000000,113.998,Joules
a15_20_1,dhrystone,1,A15a_power,A15,2000000,0.297,Watts
a15_20_1,dhrystone,1,A15a_voltage,A15,2000000,1.03,Volts
a15_20_1,dhrystone,1,A15a_energy,A15,2000000,148.366,Joules
a15_21_1,dhrystone,1,thread 0 score,A15,2100000,3778338,
a15_21_1,dhrystone,1,thread 0 DMIPS,A15,2100000,2150,
a15_21_1,dhrystone,1,time,A15,2100000,4.076794,seconds
a15_21_1,dhrystone,1,total DMIPS,A15,2100000,2150,
a15_21_1,dhrystone,1,total score,A15,2100000,3778338,
a15_21_1,dhrystone,1,execution_time,A15,2100000,4.14204788208,seconds
a15_21_1,dhrystone,1,A7_power,A15,2100000,0.027,Watts
a15_21_1,dhrystone,1,A7_voltage,A15,2100000,0.767,Volts
a15_21_1,dhrystone,1,A7_energy,A15,2100000,13.711,Joules
a15_21_1,dhrystone,1,A15c_power,A15,2100000,0.339,Watts
a15_21_1,dhrystone,1,A15c_voltage,A15,2100000,1.061,Volts
a15_21_1,dhrystone,1,A15c_energy,A15,2100000,169.682,Joules
a15_21_1,dhrystone,1,A15b_power,A15,2100000,0.299,Watts
a15_21_1,dhrystone,1,A15b_voltage,A15,2100000,1.061,Volts
a15_21_1,dhrystone,1,A15b_energy,A15,2100000,149.51,Joules
a15_21_1,dhrystone,1,A15a_power,A15,2100000,0.317,Watts
a15_21_1,dhrystone,1,A15a_voltage,A15,2100000,1.061,Volts
a15_21_1,dhrystone,1,A15a_energy,A15,2100000,158.496,Joules
a7_4_1,dhrystone,1,thread 0 score,A7,400000,449910,
a7_4_1,dhrystone,1,thread 0 DMIPS,A7,400000,256,
a7_4_1,dhrystone,1,time,A7,400000,33.558906,seconds
a7_4_1,dhrystone,1,total DMIPS,A7,400000,256,
a7_4_1,dhrystone,1,total score,A7,400000,449910,
a7_4_1,dhrystone,1,execution_time,A7,400000,33.7553808689,seconds
a7_4_1,dhrystone,1,A7_power,A7,400000,0.027,Watts
a7_4_1,dhrystone,1,A7_voltage,A7,400000,0.661,Volts
a7_4_1,dhrystone,1,A7_energy,A7,400000,95.118,Joules
a7_4_1,dhrystone,1,A15c_power,A7,400000,0.005,Watts
a7_4_1,dhrystone,1,A15c_voltage,A7,400000,1.057,Volts
a7_4_1,dhrystone,1,A15c_energy,A7,400000,18.053,Joules
a7_4_1,dhrystone,1,A15b_power,A7,400000,0.004,Watts
a7_4_1,dhrystone,1,A15b_voltage,A7,400000,1.057,Volts
a7_4_1,dhrystone,1,A15b_energy,A7,400000,14.714,Joules
a7_4_1,dhrystone,1,A15a_power,A7,400000,0.005,Watts
a7_4_1,dhrystone,1,A15a_voltage,A7,400000,1.057,Volts
a7_4_1,dhrystone,1,A15a_energy,A7,400000,17.103,Joules
a7_5_1,dhrystone,1,thread 0 score,A7,500000,560119,
a7_5_1,dhrystone,1,thread 0 DMIPS,A7,500000,319,
a7_5_1,dhrystone,1,time,A7,500000,26.998852,seconds
a7_5_1,dhrystone,1,total DMIPS,A7,500000,319,
a7_5_1,dhrystone,1,total score,A7,500000,560119,
a7_5_1,dhrystone,1,execution_time,A7,500000,51.049134016,seconds
a7_5_1,dhrystone,1,A7_power,A7,500000,0.03,Watts
a7_5_1,dhrystone,1,A7_voltage,A7,500000,0.68,Volts
a7_5_1,dhrystone,1,A7_energy,A7,500000,157.839,Joules
a7_5_1,dhrystone,1,A15c_power,A7,500000,0.005,Watts
a7_5_1,dhrystone,1,A15c_voltage,A7,500000,1.057,Volts
a7_5_1,dhrystone,1,A15c_energy,A7,500000,28.941,Joules
