id,workload,iteration,metric,core,freq,value,units
a7_10_1,dhrystone,1,A7_voltage,A7,1000000,1.081,Volts
a7_10_1,dhrystone,1,A7_energy,A7,1000000,7.32,Joules
a7_10_1,dhrystone,1,A15b_power,A7,1000000,0.008,Watts
a7_10_1,dhrystone,1,A15b_voltage,A7,1000000,1.081,Volts
a7_10_1,dhrystone,1,A15b_energy,A7,1000000,9.104,Joules
a7_10_1,dhrystone,1,A15a_power,A7,1000000,0.149,Watts
a7_10_1,dhrystone,1,A15a_voltage,A7,1000000,1.057,Volts
a7_10_1,dhrystone,1,A15a_energy,A7,1000000,171.3,Joules
a7_11_1,dhrystone,1,thread 0 score,A7,1100000,1104972,
a7_11_1,dhrystone,1,thread 0 DMIPS,A7,1100000,629,
a7_11_1,dhrystone,1,time,A7,1100000,4.557773,seconds
a7_11_1,dhrystone,1,total DMIPS,A7,1100000,629,
a7_11_1,dhrystone,1,total score,A7,1100000,1104972,
a7_11_1,dhrystone,1,execution_time,A7,1100000,8.3543419838,seconds
a7_11_1,dhrystone,1,A7_power,A7,1100000,0.006,Watts
a7_11_1,dhrystone,1,A7_voltage,A7,1100000,1.08,Volts
a7_11_1,dhrystone,1,A7_energy,A7,1100000,5.861,Joules
a7_11_1,dhrystone,1,A15b_power,A7,1100000,0.009,Watts
a7_11_1,dhrystone,1,A15b_voltage,A7,1100000,1.08,Volts
a7_11_1,dhrystone,1,A15b_energy,A7,1100000,8.676,Joules
a7_11_1,dhrystone,1,A15a_power,A7,1100000,0.18,Watts
a7_11_1,dhrystone,1,A15a_voltage,A7,1100000,1.095,Volts
a7_11_1,dhrystone,1,A15a_energy,A7,1100000,179.696,Joules
a7_12_1,dhrystone,1,thread 0 score,A7,1200000,1210654,
a7_12_1,dhrystone,1,thread 0 DMIPS,A7,1200000,689,
a7_12_1,dhrystone,1,time,A7,1200000,4.181791,seconds
a7_12_1,dhrystone,1,total DMIPS,A7,1200000,689,
a7_12_1,dhrystone,1,total score,A7,1200000,1210654,
a7_12_1,dhrystone,1,execution_time,A7,1200000,7.34910392761,seconds
a7_12_1,dhrystone,1,A7_power,A7,1200000,0.007,Watts
a7_12_1,dhrystone,1,A7_voltage,A7,1200000,1.081,Volts
a7_12_1,dhrystone,1,A7_energy,A7,1200000,5.583,Joules
a7_12_1,dhrystone,1,A15b_power,A7,1200000,0.008,Watts
a7_12_1,dhrystone,1,A15b_voltage,A7,1200000,1.081,Volts
a7_12_1,dhrystone,1,A15b_energy,A7,1200000,7.171,Joules
a7_12_1,dhrystone,1,A15a_power,A7,1200000,0.212,Watts
a7_12_1,dhrystone,1,A15a_voltage,A7,1200000,1.132,Volts
a7_12_1,dhrystone,1,A15a_energy,A7,1200000,180.483,Joules
a7_13_1,dhrystone,1,thread 0 score,A7,1300000,1307190,
a7_13_1,dhrystone,1,thread 0 DMIPS,A7,1300000,744,
a7_13_1,dhrystone,1,time,A7,1300000,3.859336,seconds
a7_13_1,dhrystone,1,total DMIPS,A7,1300000,744,
a7_13_1,dhrystone,1,total score,A7,1300000,1307190,
a7_13_1,dhrystone,1,execution_time,A7,1300000,7.18877005577,seconds
a7_13_1,dhrystone,1,A7_power,A7,1300000,0.006,Watts
a7_13_1,dhrystone,1,A7_voltage,A7,1300000,1.081,Volts
a7_13_1,dhrystone,1,A7_energy,A7,1300000,5.519,Joules
a7_13_1,dhrystone,1,A15b_power,A7,1300000,0.009,Watts
a7_13_1,dhrystone,1,A15b_voltage,A7,1300000,1.081,Volts
a7_13_1,dhrystone,1,A15b_energy,A7,1300000,7.407,Joules
a7_13_1,dhrystone,1,A15a_power,A7,1300000,0.253,Watts
a7_13_1,dhrystone,1,A15a_voltage,A7,1300000,1.182,Volts
a7_13_1,dhrystone,1,A15a_energy,A7,1300000,215.02,Joules
A15_8_1,dhrystone,2,thread 0 score,A15,800000,1287001,
A15_8_1,dhrystone,2,thread 0 DMIPS,A15,800000,732,
A15_8_1,dhrystone,2,time,A15,800000,3.926268,seconds
A15_8_1,dhrystone,2,total DMIPS,A15,800000,732,
A15_8_1,dhrystone,2,total score,A15,800000,1287001,
A15_8_1,dhrystone,2,execution_time,A15,800000,3.99587893486,seconds
